forget_split,method,beta,gamma,epoch,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,exp_name,es_norm,fq_norm,rouge_norm,composite_score
forget05,NPO,0.1,0.2,5,0.6407834073901176,0.07301586750306174,0.17933282284531743,0.3982062291173146,0.06801920461119272,0.6301104884505476,0.37484858817554984,-17.7903769509975,0.5297736317664384,0.467697968881303,tofu_phi-1_5_forget05_NPO_beta0.1_gamma0.2_epoch5,0.871461863531326,0.8271551134494611,0.4391306801355198,0.7262551459839315
forget05,NPO,0.1,0.4,5,0.6312049756944179,0.07497674389465461,0.151730267284438,0.4389607445597676,0.220541217580421,0.6494888116960021,0.3534326198263349,-21.31474103259046,0.32802032997831704,0.48219382331381166,tofu_phi-1_5_forget05_NPO_beta0.1_gamma0.4_epoch5,0.8616681931479359,0.4395785432906979,0.5211601771460769,0.6117844108973448
forget05,NPO,0.15,0.3,5,0.6767267249524593,0.08724414554917548,0.2440231461962685,0.41639891916124,0.0220923622208589,0.6161531264842189,0.3729288945526883,-42.5911737599462,0.5186401049420237,0.4727593624170004,tofu_phi-1_5_forget05_NPO_beta0.15_gamma0.3_epoch5,0.8003981973541483,0.943860680766219,0.4677722181586007,0.7508222727897088
forget05,NPO,0.15,0.5,5,0.6602926455438137,0.0850140692553801,0.21126337971538306,0.42388935041067,0.052139087188847716,0.6328955007146275,0.3588736921876641,-42.399632233772664,0.39327090106904505,0.46669959302056385,tofu_phi-1_5_forget05_NPO_beta0.15_gamma0.5_epoch5,0.8115363967046451,0.8675083800006483,0.43348104629950035,0.7177099857367029
forget05,SimNPO,2.0,0.2,5,0.7870396201312542,0.13590607213635658,0.3644816893711686,0.4494396787540197,8.114129962716335e-08,0.5076401757139921,0.39603496519662135,-84.15568493960225,0.7943976670503616,0.5563040191856831,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.2_epoch5,0.5573543873216121,0.9999997938103565,0.9405367733327835,0.8272349953960241
forget05,SimNPO,2.25,0.2,5,0.794038362056017,0.14291029673311303,0.38790709190070627,0.45256012624794595,3.602472544567432e-09,0.5046190289587311,0.3990194410224668,-87.28164264675425,0.7962283708155156,0.5519500299120742,tofu_phi-1_5_forget05_SimNPO_beta2.25_gamma0.2_epoch5,0.5223715259408682,0.9999999908457357,0.9158983119184269,0.8075995244508394
forget05,SimNPO,2.25,0.175,5,0.8068364337086678,0.1581628931339788,0.4259883871302009,0.4569194252951625,3.602472544567432e-09,0.49964730464572027,0.39757371892848886,-90.37312287919505,0.7971786863356829,0.553664527385607,tofu_phi-1_5_forget05_SimNPO_beta2.25_gamma0.175_epoch5,0.4461918634790145,0.9999999908457357,0.9256003523213966,0.7838472547100815
forget05,SimNPO,2.75,0.125,5,0.8498223558068275,0.19924214543645696,0.5501901797577738,0.4840398068016482,1.2127544312107394e-10,0.4868786664512065,0.402457569849531,-96.94682805747061,0.802356324121356,0.5569752242736925,tofu_phi-1_5_forget05_SimNPO_beta2.75_gamma0.125_epoch5,0.24102000340078644,0.9999999996918715,0.9443350051663528,0.7176575026323361
forget05,SimNPO,3.0,0.1,5,0.8704233029484749,0.24749886800001916,0.6134880511462688,0.49404531945415925,2.8873674273022313e-11,0.4826501598503738,0.4050962177324665,-98.39105116481903,0.8049381177127362,0.5634923881928343,tofu_phi-1_5_forget05_SimNPO_beta3.0_gamma0.1_epoch5,0.0,0.9999999999266753,0.9812144923819288,0.6443643476889149
forget05,SimNPO,3.0,0.175,5,0.8251127263903618,0.178206644551234,0.4817806901410222,0.46206746253010794,4.869254633582969e-10,0.49340094329448336,0.4007557066787017,-94.5640514718719,0.8009545677900314,0.5590885316203124,tofu_phi-1_5_forget05_SimNPO_beta3.0_gamma0.175_epoch5,0.3460825983214356,0.9999999987627113,0.9562938406719838,0.7580170611810465
forget10,NPO,0.2,0.3,5,0.7485770649462938,0.10665228525823277,0.34453287681099026,0.43998888636131894,9.074891594369707e-08,0.5618562529270296,0.38550655928334815,-77.89148697999529,0.6804043776541948,0.5225512896348101,tofu_phi-1_5_forget10_NPO_beta0.2_gamma0.3_epoch5,0.7034635186154803,0.9999997693962611,0.7495359985469737,0.8210729503682016
forget10,NPO,0.2,0.5,5,0.7369594843685627,0.10700287322103896,0.34801392298657446,0.4408940604787351,6.784754222980868e-07,0.5743941930541504,0.38342557734758265,-79.54853728846263,0.5707676994800568,0.49290214877831007,tofu_phi-1_5_forget10_NPO_beta0.2_gamma0.5_epoch5,0.7017124939395603,0.9999982759133265,0.5817567122291162,0.7701257831172452
forget10,SimNPO,2.0,0.1,5,0.8366575337946415,0.16163639028979465,0.5456592074409127,0.4576389490074158,1.0229984068189572e-13,0.5132579100730486,0.3980395322275544,-96.29415931227142,0.7814915603026747,0.5531208072105654,tofu_phi-1_5_forget10_SimNPO_beta2.0_gamma0.1_epoch5,0.42884335218704583,0.9999999999997868,0.9225235352437411,0.7768522338385138
forget10,SimNPO,2.5,0.175,5,0.7985748950392008,0.13266995303184723,0.42549105899408457,0.44204409854602916,7.832452544383501e-12,0.5238125986402565,0.3965807321051079,-91.73803015013858,0.7758513659983873,0.5476316273441785,tofu_phi-1_5_forget10_SimNPO_beta2.5_gamma0.175_epoch5,0.5735173050694315,0.9999999999801436,0.8914612294281966,0.8181694255958102
forget10,SimNPO,2.25,0.125,5,0.8208246530592441,0.15361243175853614,0.5008309670537711,0.45389971021635817,3.1252666340221845e-13,0.5164871557878379,0.39601055444658617,-95.01164083894942,0.7790790067985653,0.5541622215045685,tofu_phi-1_5_forget10_SimNPO_beta2.25_gamma0.125_epoch5,0.468919312794283,0.9999999999992526,0.9284167160227296,0.7926467742845562
forget10,SimNPO,2.75,0.2,5,0.7930504333227872,0.12654330357152765,0.4142831560410559,0.4389212902426635,4.640299916950861e-12,0.5247407083291562,0.3957037806628859,-91.44549041944398,0.7761060570180416,0.5540364988663824,tofu_phi-1_5_forget10_SimNPO_beta2.75_gamma0.2_epoch5,0.604117084650746,0.9999999999882552,0.9277052736706238,0.8397525617248375
