analysis_group,model,forget_set,method,beta,gamma,alpha,extraction_strength,extraction_strength_retain,model_utility,extraction_strength_norm,extraction_strength_retain_norm,model_utility_norm,folder
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,NPO,0.1,0.2,,0.07583165768310667,0.37884100096902557,0.5482905294530352,0.12098882454736719,0.2519231350337305,0.29627726227228524,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.1_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,NPO,0.15,0.2,,0.09067750181618849,0.44618762121328787,0.5757175328425713,0.1939173696400834,0.3463389449997283,0.5180291540164952,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.15_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,NPO,0.2,0.2,,0.1049800211344662,0.5103548737099941,0.5819738215279525,0.26417689248649046,0.43629747737738495,0.5686122903357358,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.2_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,NPO,0.05,0.2,,0.05120232730511189,0.2872537113352484,0.570380703798709,0.0,0.12352340091195427,0.4748800020809459,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.05_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,SimNPO,2.0,0.2,,0.14846656885778875,0.6960918003772768,0.6105518053512804,0.47779968335897804,0.6966891987181554,0.7996700506405366,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.0_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,SimNPO,2.25,0.15,,0.18062442607611603,0.7085124047018272,0.6094752462146158,0.6357715520657169,0.7141021203067411,0.7909658906658101,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.25_gamma0.15_epoch5
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,SimNPO,2.0,0.15,,0.16623332109589734,0.7041181055478384,0.6083042265411164,0.5650768620854292,0.7079415837816421,0.781498001513645,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.0_gamma0.15_epoch5
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,TVC,0.8,,0.9,0.10183894248251456,0.9124428263046898,0.6333630143124956,0.24874669572198557,1.0,0.9841024754402449,evals_a0.9_b0.8
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,TVC,1.0,,0.9,0.10096953411310619,0.8938610658349478,0.6348492537506379,0.24447582456747205,0.9739495173034416,0.9961189689051725,evals_a0.9_b1.0
Llama-2-7b-chat-hf_forget05,Llama-2-7b-chat-hf,forget05,TVC,0.9,,1.1,0.09175617030457169,0.8917271931936588,0.6295962899926416,0.19921620767111534,0.9709579594040123,0.9536478817778097,evals_a1.1_b0.9
