Model,Forget Set,Method,Pareto Points,Best ES Un,Best ES Re,Best MU,Best Params
Llama-2-7b-chat-hf,forget05,NPO,4,0.1049800211344662,0.5103548737099941,0.5819738215279525,"beta=0.2, gamma=0.2"
Llama-2-7b-chat-hf,forget05,SimNPO,3,0.14846656885778875,0.6960918003772768,0.6105518053512804,"beta=2.0, gamma=0.2"
Llama-2-7b-chat-hf,forget05,TVC,14,0.08356687137574094,0.876780442030699,0.6303380652325677,"alpha=1.2, beta=1.1"
Llama-2-7b-chat-hf,forget10,NPO,9,0.10147316753575117,0.5264430395393832,0.5927813452275386,"beta=0.2, gamma=0.2"
Llama-2-7b-chat-hf,forget10,SimNPO,11,0.16061702540959086,0.545640149228102,0.5949018114989205,"beta=1.5, gamma=0.175"
Llama-2-7b-chat-hf,forget10,TVC,27,0.09604173526807508,0.9514525072583564,0.628788873896929,"alpha=0.9, beta=0.9"
phi-1_5,forget05,NPO,7,0.09668978923012755,0.35984075028136714,0.3931184056264204,"beta=0.2, gamma=0.2"
phi-1_5,forget05,SimNPO,13,0.13590607213635658,0.5383160413359437,0.39603496519662135,"beta=2.0, gamma=0.2"
phi-1_5,forget05,TVC,6,0.08717233417042287,0.6392232167750419,0.413050333447963,"alpha=0.8, beta=0.8"
phi-1_5,forget10,NPO,9,0.07088636112818915,0.2753067635803365,0.3903941608915951,"beta=0.1, gamma=0.2"
phi-1_5,forget10,SimNPO,11,0.11383145547837176,0.4603152309757724,0.39476099651150615,"beta=2.0, gamma=0.2"
phi-1_5,forget10,TVC,5,0.06125307081172168,0.7307282621577019,0.41706290084408754,"alpha=1.2, beta=1.0"
