model,forget_set,method,beta,gamma,epoch,dir_name,exact_memorization,extraction_strength,extraction_strength_retain,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,alpha,lr,composite_score
Llama-2-7B,forget05,NPO,0.1,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.1_gamma0.2_epoch5,0.6882411134243012,0.07583165768310667,0.37884100096902557,0.14583115811343306,0.28471230507613277,0.17793352788293415,0.6909749336585241,0.5482905294530352,-1.3026052102200498,0.6158243650011719,0.5528082465569206,,,0.6247552804183004
Llama-2-7B,forget05,NPO,0.1,0.4,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.1_gamma0.4_epoch5,0.6862937298417091,0.08080287441148432,0.2904409402479447,0.16939310793182813,0.32077245289833384,0.0878382826713132,0.6950834516393758,0.5299468477424176,-10.729150607256196,0.5270128963701427,0.5214922874822793,,,0.5198119347616774
Llama-2-7B,forget05,SimNPO,2.0,0.1,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.0_gamma0.1_epoch5,0.8773257207870483,0.23631614951817795,0.7011000124230833,0.5048541466891766,0.4679353181529654,1.8694649189611297e-09,0.5685997817977367,0.6063402026477972,-86.80437797336144,0.8958969177305698,0.7050925486713612,,,0.5240335751449527
Llama-2-7B,forget10,NPO,0.2,0.3,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.2_gamma0.3_epoch5,0.7620552829653024,0.10070616525811144,0.44637970253995335,0.32688752092886714,0.3457801482941183,2.5496506594547965e-08,0.6419045909119359,0.5857666541652407,-53.72198953604238,0.7993537926673889,0.5697350521021115,,,0.6372964694415904
Llama-2-7B,forget10,NPO,0.2,0.5,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.2_gamma0.5_epoch5,0.7669533924013376,0.10553865227282323,0.31259893589015086,0.3714873229153454,0.3637710479850357,1.652551353350331e-08,0.6493088105597711,0.586960130787747,-60.28858792695,0.702340130507946,0.5121416109983598,,,0.6250563246980555
Llama-2-7B,forget10,NPO,0.15,0.3,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.15_gamma0.3_epoch5,0.7298477373272181,0.08701986047742703,0.3596795944922849,0.2655766237480566,0.3303936242510466,5.0026003627463854e-05,0.6604177390177588,0.5947289886404415,-35.25827193131636,0.7568418050929904,0.5329978950887747,,,0.7435926714562352
Llama-2-7B,forget10,NPO,0.15,0.5,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.15_gamma0.5_epoch5,0.7332448951154947,0.08996044577340484,0.26824120587739514,0.2710051038302481,0.363422930967697,4.455792684961036e-06,0.666344954354601,0.5504210585350304,-38.19815963425992,0.5771073339693248,0.5063388126988767,,,0.47478499545942754
Llama-2-7B,forget10,SimNPO,2.0,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.0_gamma0.2_epoch5,0.7197890544682741,0.0835326204098282,0.5561382034752377,0.11165947554502054,0.34120839084758914,6.923241573443553e-05,0.6175537415462845,0.6137367236859064,26.434532721684313,0.8426174907758832,0.6039060079766545,,,0.8677367095427212
Llama-2-7B,forget10,SimNPO,2.25,0.1,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.25_gamma0.1_epoch5,0.8493389977514744,0.17625038201975698,0.5496736638779913,0.4429451535642147,0.4387682097099612,1.0229984068189572e-13,0.5882629315268378,0.5861659781787627,-82.29749420361388,0.8310451075807214,0.6150538212153038,,,0.3399908951891675
Llama-2-7B,forget05,NPO,0.15,0.3,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.15_gamma0.3_epoch5,0.7374700503051281,0.09503224071283445,0.3637524068194534,0.25085501139052213,0.3342486435747885,0.0030098470801667434,0.6670694691567753,0.5517530585637848,-38.12625249913268,0.6514991392940283,0.5527050421426598,,,0.5950990968507212
Llama-2-7B,forget05,NPO,0.15,0.5,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.15_gamma0.5_epoch5,0.7383698371052742,0.0953870633145004,0.30019743118166736,0.2768512971885502,0.35953252072881264,0.0014264303851701861,0.6749689994589961,0.5428594678468985,-46.0035455455521,0.60806833922863,0.5099741191362253,,,0.5492676889758865
Llama-2-7B,forget05,NPO,0.1,0.3,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.1_gamma0.3_epoch5,0.6856854671239853,0.07994348900841322,0.3331786971328614,0.15925069385906682,0.2835542430557686,0.1420746514551761,0.6944759302963649,0.5337435709606776,-4.597656851457119,0.5651540000364185,0.5194493601495247,,,0.541116380492606
Llama-2-7B,forget05,NPO,0.1,0.5,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.1_gamma0.5_epoch5,0.6788382403552532,0.08416032955360375,0.2510265345485039,0.17227963520505,0.33859000023550967,0.11228360286766195,0.6970540674090167,0.5246789345310762,-14.340218897126547,0.4877639340981841,0.5255254549422785,,,0.48493441770203116
