Model,Forget Set,Method,ES Un,ES Re,MU,Best Params
Llama-2-7b-chat-hf,forget05,NPO,0.1049800211344662,0.5103548737099941,0.5819738215279525,"beta=0.2, gamma=0.2"
Llama-2-7b-chat-hf,forget05,SimNPO,0.14846656885778875,0.6960918003772768,0.6105518053512804,"beta=2.0, gamma=0.2"
Llama-2-7b-chat-hf,forget05,TVC,0.08356687137574094,0.876780442030699,0.6303380652325677,"alpha=1.2, beta=1.1"
Llama-2-7b-chat-hf,forget10,NPO,0.10147316753575117,0.5264430395393832,0.5927813452275386,"beta=0.2, gamma=0.2"
Llama-2-7b-chat-hf,forget10,SimNPO,0.0835326204098282,0.5561382034752377,0.6137367236859064,"beta=2.0, gamma=0.2"
Llama-2-7b-chat-hf,forget10,TVC,0.08986964747874655,0.9454549364229249,0.6272982118801606,"alpha=1.1, beta=1.0"
phi-1_5,forget05,NPO,0.09668978923012755,0.35984075028136714,0.3931184056264204,"beta=0.2, gamma=0.2"
phi-1_5,forget05,SimNPO,0.14291029673311303,0.5441712503182218,0.3990194410224668,"beta=2.25, gamma=0.2"
phi-1_5,forget05,TVC,0.06780339854792632,0.5837900916584439,0.4080193685264741,"alpha=1.0, beta=0.8"
phi-1_5,forget10,NPO,0.09927024257416077,0.4194132229527962,0.38961524822204563,"beta=0.2, gamma=0.2"
phi-1_5,forget10,SimNPO,0.17742784827462763,0.49704966855909594,0.4000227523163318,"beta=2.5, gamma=0.1"
phi-1_5,forget10,TVC,0.06125307081172168,0.7307282621577019,0.41706290084408754,"alpha=1.2, beta=1.0"
